id,Growth,Loss,Stable,Growth_cwci,Loss_cwci,Stable_cwci,Growth_discount,Loss_discount,Stable_discount
25149672,0.005,0.005,0.99,0.042,0.042,0.917,0.047,0.133,0.821
25149672,0.005,0.005,0.99,0.042,0.042,0.917,0.192,0.167,0.642
25149672,0.005,0.005,0.99,0.153,0.153,0.693,0.047,0.133,0.821
25149672,0.005,0.005,0.99,0.153,0.153,0.693,0.192,0.167,0.642
25149672,0.3,0.3,0.4,0.042,0.042,0.917,0.047,0.133,0.821
25149672,0.3,0.3,0.4,0.042,0.042,0.917,0.192,0.167,0.642
25149672,0.3,0.3,0.4,0.153,0.153,0.693,0.047,0.133,0.821
25149672,0.3,0.3,0.4,0.153,0.153,0.693,0.192,0.167,0.642
8462380,0.005,0.005,0.99,0.044,0.044,0.912,0.047,0.107,0.846
8462380,0.005,0.005,0.99,0.044,0.044,0.912,0.0,0.0,1.0
8462380,0.005,0.005,0.99,0.083,0.083,0.833,0.047,0.107,0.846
8462380,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.0,1.0
8462380,0.005,0.005,0.99,0.044,0.044,0.912,0.047,0.107,0.846
8462380,0.005,0.005,0.99,0.044,0.044,0.912,0.0,0.0,1.0
8462380,0.005,0.005,0.99,0.083,0.083,0.833,0.047,0.107,0.846
8462380,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.0,1.0
24892701,0.3,0.3,0.4,0.181,0.181,0.638,0.223,0.289,0.487
24892701,0.3,0.3,0.4,0.181,0.181,0.638,0.047,0.133,0.821
24892701,0.3,0.3,0.4,0.047,0.047,0.907,0.223,0.289,0.487
24892701,0.3,0.3,0.4,0.047,0.047,0.907,0.047,0.133,0.821
24892701,0.005,0.005,0.99,0.181,0.181,0.638,0.223,0.289,0.487
24892701,0.005,0.005,0.99,0.181,0.181,0.638,0.047,0.133,0.821
24892701,0.005,0.005,0.99,0.047,0.047,0.907,0.223,0.289,0.487
24892701,0.005,0.005,0.99,0.047,0.047,0.907,0.047,0.133,0.821
19689836,0.005,0.005,0.99,0.035,0.035,0.93,0.037,0.108,0.855
19689836,0.005,0.005,0.99,0.035,0.035,0.93,0.223,0.487,0.289
19689836,0.005,0.005,0.99,0.361,0.278,0.361,0.037,0.108,0.855
19689836,0.005,0.005,0.99,0.361,0.278,0.361,0.223,0.487,0.289
19689836,0.3,0.4,0.3,0.035,0.035,0.93,0.037,0.108,0.855
19689836,0.3,0.4,0.3,0.035,0.035,0.93,0.223,0.487,0.289
19689836,0.3,0.4,0.3,0.361,0.278,0.361,0.037,0.108,0.855
19689836,0.3,0.4,0.3,0.361,0.278,0.361,0.223,0.487,0.289
43610137,0.005,0.005,0.99,0.07,0.07,0.86,0.067,0.123,0.811
43610137,0.005,0.005,0.99,0.07,0.07,0.86,0.0,0.0,1.0
43610137,0.005,0.005,0.99,0.229,0.229,0.542,0.067,0.123,0.811
43610137,0.005,0.005,0.99,0.229,0.229,0.542,0.0,0.0,1.0
43610137,0.005,0.005,0.99,0.07,0.07,0.86,0.067,0.123,0.811
43610137,0.005,0.005,0.99,0.07,0.07,0.86,0.0,0.0,1.0
43610137,0.005,0.005,0.99,0.229,0.229,0.542,0.067,0.123,0.811
43610137,0.005,0.005,0.99,0.229,0.229,0.542,0.0,0.0,1.0
62714787,0.005,0.005,0.99,0.111,0.111,0.778,0.097,0.153,0.75
62714787,0.005,0.005,0.99,0.111,0.111,0.778,0.167,0.177,0.657
62714787,0.005,0.005,0.99,0.167,0.167,0.667,0.097,0.153,0.75
62714787,0.005,0.005,0.99,0.167,0.167,0.667,0.167,0.177,0.657
62714787,0.3,0.3,0.4,0.111,0.111,0.778,0.097,0.153,0.75
62714787,0.3,0.3,0.4,0.111,0.111,0.778,0.167,0.177,0.657
62714787,0.3,0.3,0.4,0.167,0.167,0.667,0.097,0.153,0.75
62714787,0.3,0.3,0.4,0.167,0.167,0.667,0.167,0.177,0.657
