Growth,Loss,Stable,id
0.083,0.083,0.833,45674038
0.375,0.375,0.25,49570556
0.292,0.417,0.292,12449375
0.417,0.167,0.417,17728085
0.208,0.208,0.583,21872023
0.208,0.583,0.208,47528859
0.417,0.417,0.167,82780755
0.292,0.292,0.417,69116166
0.25,0.5,0.25,53355015
0.333,0.333,0.333,40450920
1.0,0.0,0.0,96506508
0.292,0.292,0.417,94143892
0.277,0.445,0.277,63049873
0.25,0.25,0.5,61109051
0.277,0.445,0.277,76927573
0.292,0.417,0.292,45931926
0.25,0.25,0.5,37193289
0.25,0.5,0.25,67676478
0.25,0.5,0.25,66406152
0.25,0.25,0.5,7016708
0.292,0.417,0.292,53288334
0.25,0.5,0.25,51013065
0.25,0.25,0.5,91186758
0.292,0.417,0.292,89593141
0.292,0.292,0.417,54655085
0.25,0.5,0.25,47528859
0.25,0.25,0.5,97765910
0.292,0.417,0.292,69839659
0.292,0.417,0.292,76388857
0.25,0.25,0.5,14499395
0.308,0.308,0.383,82780755
0.25,0.25,0.5,76388857
0.167,0.167,0.667,19195268
0.217,0.217,0.567,15163164
0.167,0.667,0.167,81954860
0.167,0.167,0.667,87926607
0.167,0.167,0.667,53042020
0.167,0.167,0.667,65207529
0.167,0.167,0.667,6964057
0.417,0.417,0.167,24949421
0.215,0.57,0.215,80059405
0.167,0.667,0.167,38421454
0.271,0.458,0.271,23809944
0.375,0.375,0.25,66630031
0.167,0.167,0.667,27421784
0.208,0.208,0.583,17166595
0.167,0.167,0.667,63854073
0.25,0.5,0.25,57111063
0.333,0.333,0.333,52364911
0.167,0.667,0.167,82965593
0.032,0.032,0.935,69116166
0.146,0.708,0.146,97765910
0.083,0.083,0.833,19195268
0.083,0.083,0.833,10265774
0.215,0.215,0.57,19398624
0.142,0.142,0.717,67005884
0.104,0.104,0.792,38365618
0.198,0.198,0.603,80907998
0.056,0.056,0.888,65207529
0.1,0.1,0.8,77328804
0.079,0.079,0.842,41791898
0.177,0.177,0.647,12964225
0.062,0.062,0.875,30150009
0.173,0.173,0.653,58835211
0.292,0.292,0.417,77239856
0.25,0.5,0.25,99208105
0.208,0.583,0.208,81954860
0.34,0.34,0.32,19398624
0.292,0.417,0.292,67093531
0.083,0.083,0.833,44974372
0.25,0.5,0.25,20458311
0.308,0.308,0.383,24949421
0.354,0.354,0.292,16422190
0.389,0.222,0.389,79579815
0.333,0.333,0.333,82153961
0.348,0.348,0.305,43497672
0.354,0.354,0.292,17166595
0.152,0.152,0.695,41791898
0.348,0.305,0.348,30988778
0.207,0.207,0.587,18312021
0.361,0.361,0.278,47824176
0.236,0.236,0.528,98688299
0.348,0.305,0.348,94123684
0.292,0.292,0.417,52254958
0.167,0.167,0.667,2028059
0.292,0.292,0.417,65723809
0.333,0.333,0.333,87926607
0.083,0.083,0.833,67005884
0.333,0.333,0.333,30725024
0.208,0.208,0.583,88296007
0.722,0.139,0.139,75005688
0.208,0.583,0.208,88716286
0.042,0.042,0.917,80061075
0.125,0.125,0.75,79579815
0.167,0.167,0.667,48519496
0.229,0.229,0.542,68360149
0.183,0.183,0.633,63854073
0.152,0.152,0.695,34562860
0.188,0.188,0.625,39124661
0.083,0.083,0.833,18312021
0.125,0.125,0.75,74724107
0.188,0.188,0.625,31920893
0.104,0.104,0.792,95915841
0.221,0.221,0.558,21872023
0.25,0.25,0.5,2028059
0.292,0.417,0.292,15723160
0.333,0.333,0.333,53042020
0.25,0.25,0.5,38365618
0.375,0.375,0.25,57429630
0.375,0.375,0.25,81963277
0.417,0.417,0.167,88296007
0.208,0.583,0.208,38421454
0.417,0.417,0.167,42683605
0.208,0.208,0.583,96718366
0.25,0.25,0.5,82153961
0.333,0.333,0.333,48519496
0.333,0.333,0.333,75395377
0.083,0.833,0.083,57111063
0.083,0.083,0.833,14910982
