Growth,Loss,Stable,id
0.167,0.192,0.642,96718366
0.333,0.333,0.333,82153961
0.167,0.237,0.597,48519496
0.333,0.333,0.333,75395377
0.0,0.96,0.04,57111063
0.0,0.25,0.75,14910982
0.333,0.333,0.333,84235829
0.333,0.333,0.333,47824176
0.333,0.333,0.333,7431929
0.333,0.333,0.333,48015767
0.167,0.197,0.637,87789923
0.0,0.0,1.0,65723809
0.067,0.075,0.859,50526337
0.167,0.292,0.542,14576450
0.0,0.8,0.2,7431929
0.167,0.617,0.217,66152324
0.0,0.75,0.25,15723160
0.067,0.707,0.227,2648055
0.0,0.2,0.8,80907998
0.167,0.332,0.502,33158978
0.333,0.333,0.333,20458311
0.333,0.333,0.333,75005688
0.0,0.1,0.9,97611017
0.167,0.267,0.567,23809944
0.333,0.333,0.333,42822105
0.0,0.67,0.33,43497672
0.333,0.333,0.333,68360149
0.333,0.333,0.333,52364911
0.0,0.0,1.0,12964225
0.0,0.05,0.95,98688299
0.167,0.417,0.417,31920893
0.0,0.0,1.0,2648055
0.0,0.99,0.01,74058069
0.0,0.05,0.95,10718510
0.25,0.418,0.332,28698134
0.5,0.0,0.5,87925799
0.333,0.333,0.333,70913663
0.0,0.95,0.05,6175122
0.0,0.0,1.0,43519457
0.0,0.0,1.0,34924907
0.0,0.0,1.0,31187039
0.0,0.0,1.0,95552059
0.167,0.567,0.267,88125391
0.167,0.217,0.617,34821235
0.0,0.95,0.05,29267760
0.0,0.01,0.99,76014959
0.0,0.0,1.0,8287467
0.25,0.312,0.438,72690817
0.067,0.227,0.707,27176504
0.0,0.05,0.95,61170363
0.267,0.167,0.567,55400962
0.0,0.33,0.67,2648055
0.333,0.333,0.333,90371753
0.267,0.307,0.427,68118732
0.167,0.237,0.597,68204702
0.0,0.0,1.0,46106538
0.167,0.597,0.237,6175122
0.11,0.17,0.72,86310004
0.0,0.0,1.0,26640647
0.11,0.137,0.753,20476173
0.167,0.207,0.627,89296575
0.0,0.0,1.0,93056107
0.223,0.458,0.319,88125391
0.083,0.233,0.683,74482556
0.167,0.207,0.627,48691796
0.223,0.306,0.471,17796659
0.223,0.487,0.289,62024586
0.223,0.527,0.25,45386448
0.167,0.252,0.582,27176504
0.11,0.224,0.666,66234141
0.25,0.305,0.445,83507503
0.25,0.3,0.45,93149026
0.11,0.197,0.693,81963277
0.25,0.475,0.275,5145440
0.0,0.0,1.0,68118732
0.0,0.0,1.0,12493287
0.0,0.4,0.6,74866697
0.0,0.0,1.0,43519457
0.167,0.167,0.667,61815817
0.0,0.0,1.0,28461002
0.0,0.0,1.0,20476173
0.0,0.0,1.0,81658253
0.5,0.0,0.5,35937648
0.0,0.0,1.0,34821235
0.0,0.9,0.1,93632229
0.0,0.1,0.9,68614235
0.25,0.312,0.438,17796659
0.0,0.0,1.0,69781003
0.2,0.44,0.36,46161369
0.167,0.167,0.667,61170363
0.223,0.52,0.256,10311653
0.0,0.0,1.0,93149026
0.0,0.0,1.0,44974372
0.223,0.306,0.471,80059405
0.167,0.267,0.567,2587597
0.333,0.333,0.333,68204702
0.167,0.217,0.617,12493287
0.167,0.237,0.597,94665159
0.167,0.217,0.617,34924907
0.333,0.333,0.333,63015257
0.333,0.333,0.333,89296575
0.0,0.02,0.98,81658253
0.333,0.333,0.333,44071040
0.333,0.333,0.333,29267760
0.0,0.01,0.99,78133911
0.333,0.333,0.333,62024586
0.333,0.333,0.333,69781003
0.333,0.333,0.333,96323810
0.167,0.502,0.332,70221300
0.167,0.292,0.542,5808216
0.333,0.333,0.333,13090108
0.333,0.333,0.333,30242302
0.167,0.267,0.567,97611017
0.333,0.333,0.333,74724107
1.0,0.0,0.0,48460786
0.167,0.392,0.442,46106538
0.167,0.617,0.217,74866697
0.0,0.75,0.25,94665159
0.0,0.67,0.33,98460633
0.0,0.75,0.25,75395377
0.0,0.75,0.25,86134641
0.0,0.55,0.45,18622744
0.0,0.1,0.9,285866
0.0,0.8,0.2,85026921
0.0,0.9,0.1,96323810
0.0,0.45,0.55,46161369
0.0,0.9,0.1,45386448
0.0,0.45,0.55,31187039
0.0,0.4,0.6,24270289
0.0,0.9,0.1,58581335
0.0,0.1,0.9,93056107
0.0,0.25,0.75,35937648
0.0,0.4,0.6,44071040
0.0,0.1,0.9,76014959
0.083,0.383,0.533,94992932
0.0,0.1,0.9,5227807
0.0,0.01,0.99,43429587
0.11,0.646,0.244,40235544
0.0,0.05,0.95,56928017
0.0,0.0,1.0,77687355
0.0,1.0,0.0,42212153
0.0,0.1,0.9,49932010
0.0,0.2,0.8,33359956
0.0,0.0,1.0,45184182
0.0,0.0,1.0,18058708
0.11,0.686,0.204,74242783
0.0,0.05,0.95,43657356
0.0,0.89,0.11,49763342
0.0,0.99,0.01,97148679
0.333,0.333,0.333,8056470
0.333,0.333,0.333,48215149
0.0,0.0,1.0,62878897
0.083,0.683,0.233,7717277
0.0,0.4,0.6,66051500
0.0,0.0,1.0,78982016
0.0,0.06,0.94,56928017
0.223,0.319,0.458,33036843
0.167,0.502,0.332,10926420
0.223,0.388,0.388,91003137
0.223,0.223,0.553,53206733
0.11,0.713,0.177,75496092
0.0,0.0,1.0,18058708
0.11,0.204,0.686,80596817
0.223,0.444,0.332,58326896
0.167,0.252,0.582,14551642
0.083,0.083,0.833,40403668
0.167,0.207,0.627,35182382
0.0,0.07,0.93,8056470
0.0,0.93,0.07,36500507
0.0,0.129,0.871,35253994
0.11,0.224,0.666,45288542
0.167,0.542,0.292,90361617
0.0,0.0,1.0,4546422
0.11,0.204,0.686,5072465
0.223,0.332,0.444,90378904
0.0,0.05,0.95,77687355
0.167,0.237,0.597,28925509
0.333,0.333,0.333,99864487
0.333,0.333,0.333,25508080
0.333,0.333,0.333,53206733
0.333,0.333,0.333,80652954
0.333,0.333,0.333,74242783
0.0,0.05,0.95,9270980
0.167,0.597,0.237,15514490
0.333,0.333,0.333,6576413
0.0,0.05,0.95,40403668
0.333,0.333,0.333,51385401
0.0,0.05,0.95,34040843
0.0,0.05,0.95,38525228
0.0,0.17,0.83,12860946
0.167,0.207,0.627,54104969
0.0,0.33,0.67,78339268
0.0,0.02,0.98,61224214
0.333,0.333,0.333,13410646
0.333,0.333,0.333,27233798
0.167,0.167,0.667,42212153
0.0,0.8,0.2,86931317
0.0,1.0,0.0,18518553
0.0,0.67,0.33,75496092
0.0,0.67,0.33,80652954
0.0,0.67,0.33,54059491
0.0,0.67,0.33,8454559
0.0,0.6,0.4,87450670
0.0,0.9,0.1,39463480
0.0,0.25,0.75,35182382
0.0,0.33,0.67,51385401
0.0,0.4,0.6,62878897
0.167,0.292,0.542,39272395
0.11,0.612,0.278,74057907
0.0,0.95,0.05,29895800
0.333,0.333,0.333,98553459
0.0,0.9,0.1,54104969
0.0,0.75,0.25,13956104
0.0,0.05,0.95,94819012
0.0,0.8,0.2,18389439
0.0,0.9,0.1,78339268
0.0,0.0,1.0,35720553
0.0,0.05,0.95,18052264
0.0,0.0,1.0,20926669
0.0,0.0,1.0,62984208
0.0,0.9,0.1,36613739
0.267,0.353,0.381,94750786
0.167,0.192,0.642,22837518
0.167,0.192,0.642,16909542
0.0,0.0,1.0,27266177
0.0,0.0,1.0,64047275
0.0,0.0,1.0,86755977
0.277,0.423,0.3,35201805
0.0,0.0,1.0,12889979
0.067,0.227,0.707,46071965
0.25,0.392,0.358,21494001
